,i,j,y,t,l,k,alpha,psi
0,0,65,0.6550865091731186,0,1,1,-0.8614545985909151,-0.9084578685373851
1,0,65,-4.648986985434389,1,1,1,-0.8614545985909151,-0.9084578685373851
2,0,59,0.4785236975972116,2,1,1,-0.8614545985909151,-0.9084578685373851
3,0,59,-2.6791662969391603,3,1,1,-0.8614545985909151,-0.9084578685373851
4,0,59,-5.20167383552577,4,1,1,-0.8614545985909151,-0.9084578685373851
5,1,116,-3.4825802892981033,0,3,6,0.8614545985909149,0.3487556955170447
6,1,116,-4.09409770151267,1,3,6,0.8614545985909149,0.3487556955170447
7,1,116,-0.9979037063494942,2,3,6,0.8614545985909149,0.3487556955170447
8,1,116,2.43349068102527,3,3,6,0.8614545985909149,0.3487556955170447
9,1,116,5.299446390882669,4,3,6,0.8614545985909149,0.3487556955170447
10,2,165,1.6926827199032037,0,3,9,0.8614545985909149,1.3351777361189363
11,2,185,3.887985898353173,1,3,9,0.8614545985909149,1.3351777361189363
12,2,185,6.680099358732683,2,3,9,0.8614545985909149,1.3351777361189363
13,2,185,-1.5981801814051093,3,3,9,0.8614545985909149,1.3351777361189363
14,2,185,-0.13258159739185205,4,3,9,0.8614545985909149,1.3351777361189363
15,3,150,-0.06771431281726414,0,4,9,1.934843132203402,1.3351777361189363
16,3,150,1.488762938924777,1,4,9,1.934843132203402,1.3351777361189363
17,3,150,4.587894699079685,2,4,9,1.934843132203402,1.3351777361189363
18,3,150,3.2800823462652877,3,4,9,1.934843132203402,1.3351777361189363
19,3,150,2.9058713009393013,4,4,9,1.934843132203402,1.3351777361189363
20,4,187,-0.7618388421538631,0,2,9,0.0,1.3351777361189363
21,4,187,-0.0669707014582075,1,2,9,0.0,1.3351777361189363
22,4,187,-0.7870466302929633,2,2,9,0.0,1.3351777361189363
23,4,187,3.8761587638957025,3,2,9,0.0,1.3351777361189363
24,4,142,0.03986167161739351,4,2,8,0.0,0.9084578685373853
25,5,144,3.3493996589946313,0,3,8,0.8614545985909149,0.9084578685373853
26,5,144,4.2459213947359995,1,3,8,0.8614545985909149,0.9084578685373853
27,5,144,3.1991507185948764,2,3,8,0.8614545985909149,0.9084578685373853
28,5,127,5.962393473757464,3,3,7,0.8614545985909149,0.6045853465832371
29,5,127,1.7069923698484448,4,3,7,0.8614545985909149,0.6045853465832371
30,6,8,-3.5804464904782067,0,1,0,-0.8614545985909151,-1.335177736118937
31,6,8,-5.830246048325618,1,1,0,-0.8614545985909151,-1.335177736118937
32,6,8,-1.77691179492406,2,1,0,-0.8614545985909151,-1.335177736118937
33,6,8,-4.482201711796532,3,1,0,-0.8614545985909151,-1.335177736118937
34,6,47,-3.2218789800220633,4,1,0,-0.8614545985909151,-1.335177736118937
35,7,43,0.12607671619042193,0,1,0,-0.8614545985909151,-1.335177736118937
36,7,43,-3.468105000870165,1,1,0,-0.8614545985909151,-1.335177736118937
37,7,43,-6.512812326951215,2,1,0,-0.8614545985909151,-1.335177736118937
38,7,43,-1.600717375434774,3,1,0,-0.8614545985909151,-1.335177736118937
39,7,43,-2.964482239077755,4,1,0,-0.8614545985909151,-1.335177736118937
40,8,145,-0.2571473848847229,0,2,8,0.0,0.9084578685373853
41,8,145,1.7441574411862002,1,2,8,0.0,0.9084578685373853
42,8,145,0.05380205279159578,2,2,8,0.0,0.9084578685373853
43,8,145,0.6979181837464455,3,2,8,0.0,0.9084578685373853
44,8,145,3.6169281562246693,4,2,8,0.0,0.9084578685373853
45,9,66,-2.1146107169200277,0,2,1,0.0,-0.9084578685373851
46,9,66,-0.005626169260686376,1,2,1,0.0,-0.9084578685373851
47,9,66,-4.946714400152348,2,2,1,0.0,-0.9084578685373851
48,9,66,-1.9280422807372743,3,2,1,0.0,-0.9084578685373851
49,9,66,-3.5435470299998837,4,2,1,0.0,-0.9084578685373851
50,10,87,0.3937755778010315,0,2,3,0.0,-0.3487556955170447
51,10,87,2.1365924223785973,1,2,3,0.0,-0.3487556955170447
52,10,41,0.3549442133052956,2,2,0,0.0,-1.335177736118937
53,10,39,-0.08021019361010273,3,2,0,0.0,-1.335177736118937
54,10,39,-0.9873702422650124,4,2,0,0.0,-1.335177736118937
55,11,133,2.228840162098338,0,4,8,1.934843132203402,0.9084578685373853
56,11,133,3.283451947757303,1,4,8,1.934843132203402,0.9084578685373853
57,11,133,0.8907713874867347,2,4,8,1.934843132203402,0.9084578685373853
58,11,133,2.4703611476399736,3,4,8,1.934843132203402,0.9084578685373853
59,11,133,2.8914927091626224,4,4,8,1.934843132203402,0.9084578685373853
60,12,38,-3.0894035165098774,0,0,0,-1.934843132203402,-1.335177736118937
61,12,38,-2.917790374063774,1,0,0,-1.934843132203402,-1.335177736118937
62,12,38,-6.674476467790468,2,0,0,-1.934843132203402,-1.335177736118937
63,12,38,-4.338503370285663,3,0,0,-1.934843132203402,-1.335177736118937
64,12,38,-3.416985540229058,4,0,0,-1.934843132203402,-1.335177736118937
65,13,166,3.601188431202014,0,4,9,1.934843132203402,1.3351777361189363
66,13,166,4.384717966931614,1,4,9,1.934843132203402,1.3351777361189363
67,13,164,2.857637623458359,2,4,9,1.934843132203402,1.3351777361189363
68,13,160,2.141917240072913,3,4,9,1.934843132203402,1.3351777361189363
69,13,160,-1.4935680028700036,4,4,9,1.934843132203402,1.3351777361189363
70,14,1,-1.2637542889607847,0,0,0,-1.934843132203402,-1.335177736118937
71,14,1,-5.337384549973393,1,0,0,-1.934843132203402,-1.335177736118937
72,14,1,-3.976061685135527,2,0,0,-1.934843132203402,-1.335177736118937
73,14,1,-3.5075687905486816,3,0,0,-1.934843132203402,-1.335177736118937
74,14,1,-5.2257067449532295,4,0,0,-1.934843132203402,-1.335177736118937
75,15,154,2.0889129359623753,0,3,9,0.8614545985909149,1.3351777361189363
76,15,154,1.5475818821007157,1,3,9,0.8614545985909149,1.3351777361189363
77,15,154,2.9791651629022784,2,3,9,0.8614545985909149,1.3351777361189363
78,15,154,1.353077935045854,3,3,9,0.8614545985909149,1.3351777361189363
79,15,154,2.804873918794601,4,3,9,0.8614545985909149,1.3351777361189363
80,16,188,5.0418311181254944,0,4,9,1.934843132203402,1.3351777361189363
81,16,188,1.5011917985100636,1,4,9,1.934843132203402,1.3351777361189363
82,16,141,4.523558371966338,2,4,8,1.934843132203402,0.9084578685373853
83,16,141,3.124223850318077,3,4,8,1.934843132203402,0.9084578685373853
84,16,141,4.108016122486965,4,4,8,1.934843132203402,0.9084578685373853
85,17,192,1.562204327376656,0,3,9,0.8614545985909149,1.3351777361189363
86,17,192,-0.9529176558427266,1,3,9,0.8614545985909149,1.3351777361189363
87,17,192,1.7881967710276299,2,3,9,0.8614545985909149,1.3351777361189363
88,17,192,1.288633719849242,3,3,9,0.8614545985909149,1.3351777361189363
89,17,192,-1.1057013896644556,4,3,9,0.8614545985909149,1.3351777361189363
90,18,102,0.9443589942223878,0,3,5,0.8614545985909149,0.11418529432142824
91,18,102,0.48700079026305676,1,3,5,0.8614545985909149,0.11418529432142824
92,18,102,0.6170227697935564,2,3,5,0.8614545985909149,0.11418529432142824
93,18,102,1.291622493593565,3,3,5,0.8614545985909149,0.11418529432142824
94,18,102,5.924303883175051,4,3,5,0.8614545985909149,0.11418529432142824
95,19,15,-0.09545960193896663,0,0,0,-1.934843132203402,-1.335177736118937
96,19,15,-3.736689231220395,1,0,0,-1.934843132203402,-1.335177736118937
97,19,22,-2.937085845976487,2,0,0,-1.934843132203402,-1.335177736118937
98,19,22,-4.1793594667459475,3,0,0,-1.934843132203402,-1.335177736118937
99,19,50,-2.3421663584665393,4,0,1,-1.934843132203402,-0.9084578685373851
100,20,155,0.019450534180831536,0,3,9,0.8614545985909149,1.3351777361189363
101,20,155,1.8810415639667508,1,3,9,0.8614545985909149,1.3351777361189363
102,20,155,1.3989768901670807,2,3,9,0.8614545985909149,1.3351777361189363
103,20,170,1.339407554230913,3,3,9,0.8614545985909149,1.3351777361189363
104,20,170,-0.40721059168408447,4,3,9,0.8614545985909149,1.3351777361189363
105,21,166,2.190761245345858,0,4,9,1.934843132203402,1.3351777361189363
106,21,151,0.6588430144938049,1,4,9,1.934843132203402,1.3351777361189363
107,21,151,6.510927269998007,2,4,9,1.934843132203402,1.3351777361189363
108,21,151,2.449713920065049,3,4,9,1.934843132203402,1.3351777361189363
109,21,151,2.4512850318095625,4,4,9,1.934843132203402,1.3351777361189363
110,22,99,1.558602786523004,0,2,4,0.0,-0.11418529432142838
111,22,99,-0.1774127116899898,1,2,4,0.0,-0.11418529432142838
112,22,99,-2.836272313040548,2,2,4,0.0,-0.11418529432142838
113,22,99,-3.7623518831653158,3,2,4,0.0,-0.11418529432142838
114,22,99,-0.33903429445926325,4,2,4,0.0,-0.11418529432142838
115,23,114,1.058823546359005,0,3,6,0.8614545985909149,0.3487556955170447
