i,j,y,t,l,k,alpha,psi,cat_control,cts_control
0,65,0.655086509,0,1,1,-0.861454599,-0.908457869,0,0.105058706
0,65,-4.648986985,1,1,1,-0.861454599,-0.908457869,0,0.066514809
0,59,0.478523698,2,1,1,-0.861454599,-0.908457869,0,0.374902294
0,59,-2.679166297,3,1,1,-0.861454599,-0.908457869,1,0.745852426
0,59,-5.201673836,4,1,1,-0.861454599,-0.908457869,0,0.611771698
1,116,-3.482580289,0,3,6,0.861454599,0.348755696,1,0.933668798
1,116,-4.094097702,1,3,6,0.861454599,0.348755696,1,0.684471171
1,116,-0.997903706,2,3,6,0.861454599,0.348755696,0,0.898309763
1,116,2.433490681,3,3,6,0.861454599,0.348755696,0,0.792460844
1,116,5.299446391,4,3,6,0.861454599,0.348755696,1,0.405279279
2,165,1.69268272,0,3,9,0.861454599,1.335177736,0,0.805525137
2,185,3.887985898,1,3,9,0.861454599,1.335177736,1,0.602801864
2,185,6.680099359,2,3,9,0.861454599,1.335177736,0,0.995794964
2,185,-1.598180181,3,3,9,0.861454599,1.335177736,1,0.774743403
2,185,-0.132581597,4,3,9,0.861454599,1.335177736,1,0.931662372
3,150,-0.067714313,0,4,9,1.934843132,1.335177736,0,0.307045833
3,150,1.488762939,1,4,9,1.934843132,1.335177736,0,0.535806281
3,150,4.587894699,2,4,9,1.934843132,1.335177736,1,0.589772525
3,150,3.280082346,3,4,9,1.934843132,1.335177736,0,0.597241042
3,150,2.905871301,4,4,9,1.934843132,1.335177736,1,0.699163438
4,187,-0.761838842,0,2,9,0,1.335177736,1,0.971940573
4,187,-0.066970701,1,2,9,0,1.335177736,0,0.62356529
4,187,-0.78704663,2,2,9,0,1.335177736,0,0.825834677
4,187,3.876158764,3,2,9,0,1.335177736,0,0.131294086
4,142,0.039861672,4,2,8,0,0.908457869,1,0.508561721
5,144,3.349399659,0,3,8,0.861454599,0.908457869,0,0.162970288
5,144,4.245921395,1,3,8,0.861454599,0.908457869,0,0.232640709
5,144,3.199150719,2,3,8,0.861454599,0.908457869,1,0.664151348
5,127,5.962393474,3,3,7,0.861454599,0.604585347,0,0.802388627
5,127,1.70699237,4,3,7,0.861454599,0.604585347,0,0.66826719
6,8,-3.58044649,0,1,0,-0.861454599,-1.335177736,1,0.440401157
6,8,-5.830246048,1,1,0,-0.861454599,-1.335177736,1,0.79354958
6,8,-1.776911795,2,1,0,-0.861454599,-1.335177736,0,0.632655319
6,8,-4.482201712,3,1,0,-0.861454599,-1.335177736,0,0.987438235
6,47,-3.22187898,4,1,0,-0.861454599,-1.335177736,1,0.459456233
7,43,0.126076716,0,1,0,-0.861454599,-1.335177736,1,0.478318138
